Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pacific-10 Conference,2006-2007,10,202,131,0.607,11.26,7.92,0,6,1,UCLA,Oregon
Mountain West Conference,2006-2007,9,176,117,0.601,6.30,3.76,0,2,0,Brigham Young,Nevada-Las Vegas
Horizon League,2006-2007,9,149,140,0.516,0.30,1.16,1,2,0,Butler Wright State,Wright State
Big Ten Conference,2006-2007,11,226,143,0.612,11.95,7.59,0,6,1,Ohio State,Ohio State
Atlantic Coast Conference,2006-2007,12,256,150,0.631,14.34,8.62,0,7,0,North Carolina Virginia,North Carolina
West Coast Conference,2006-2007,8,122,132,0.480,-0.07,1.13,0,1,0,Gonzaga,Gonzaga
Mid-American Conference,2006-2007,12,186,194,0.489,-0.39,0.33,0,1,0,Akron (East) Toledo (West),Miami (OH)
Missouri Valley Conference,2006-2007,10,189,135,0.583,8.58,5.99,0,2,0,Southern Illinois,Creighton
Southeastern Conference,2006-2007,12,253,153,0.623,12.94,7.92,0,5,1,Florida (East),Florida
Big 12 Conference,2006-2007,12,239,153,0.610,10.25,5.93,0,4,0,Kansas,Kansas
Southern Conference,2006-2007,11,172,174,0.497,-4.70,-2.20,0,1,0,Appalachian State (North) Davidson (South),Davidson
Conference USA,2006-2007,12,208,172,0.547,2.70,1.33,0,1,0,Memphis,Memphis
Big East Conference,2006-2007,16,321,202,0.614,11.14,6.84,0,6,1,Georgetown,Georgetown
Western Athletic Conference,2006-2007,9,153,135,0.531,1.04,0.84,0,2,0,Nevada,New Mexico State
Atlantic 10 Conference,2006-2007,14,227,209,0.521,1.01,1.11,0,2,0,Massachusetts Xavier,George Washington
Atlantic Sun Conference,2006-2007,8,127,122,0.510,-8.15,-4.35,0,1,0,East Tennessee State,Belmont
America East Conference,2006-2007,9,129,147,0.467,-7.29,-5.42,0,1,0,Vermont,Albany (NY)
Big West Conference,2006-2007,8,129,118,0.522,-4.14,-2.74,0,1,0,Long Beach State,Long Beach State
Patriot League,2006-2007,8,123,123,0.500,-5.68,-3.68,0,1,0,Bucknell Holy Cross,Holy Cross
Ohio Valley Conference,2006-2007,11,155,189,0.451,-8.98,-5.99,0,1,0,Austin Peay,Eastern Kentucky
Northeast Conference,2006-2007,11,146,187,0.438,-9.23,-6.75,0,1,0,Central Connecticut State,Central Connecticut State
Big Sky Conference,2006-2007,8,123,121,0.504,-6.64,-3.22,0,1,0,Northern Arizona Weber State,Weber State
Independent,2006-2007,4,47,70,0.402,-10.57,-1.86,0,0,0,,
Ivy League,2006-2007,8,111,115,0.491,-6.13,-4.40,0,1,0,Pennsylvania,
Southland Conference,2006-2007,11,162,175,0.481,-8.40,-4.84,0,1,0,Northwestern State (East) Texas A&M-Corpus Christi (West),Texas A&M-Corpus Christi
Metro Atlantic Athletic Conference,2006-2007,10,147,169,0.465,-6.48,-4.58,0,1,0,Marist,Niagara
Mid-Continent Conference,2006-2007,8,118,133,0.470,-4.36,-2.48,0,1,0,Oral Roberts,Oral Roberts
Sun Belt Conference,2006-2007,13,197,209,0.485,-8.04,-5.18,0,1,0,South Alabama (East) Arkansas State (West) Louisiana-Monroe (West),North Texas
Colonial Athletic Association,2006-2007,12,188,192,0.495,-1.30,-0.47,0,2,0,Virginia Commonwealth,Virginia Commonwealth
Big South Conference,2006-2007,8,122,129,0.486,-6.24,-3.76,0,1,0,Winthrop,Winthrop
Mid-Eastern Athletic Conference,2006-2007,11,143,204,0.412,-14.23,-8.65,0,1,0,Delaware State,Florida A&M
Southwest Athletic Conference,2006-2007,10,126,182,0.409,-18.76,-11.43,0,1,0,Jackson State Mississippi Valley State,Jackson State
