School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian NCAA,2020-2021,29,24,5,0.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,72.0,84.0,0.385,0.349,0.498,48.5,49.8,9.1,9.9,0.458,24.7,26.8,0.262
Air Force,2020-2021,25,5,20,0.200,-12.98,0.22,,3,17,,3,8,,1,10,,1468,1798,,63.9,112.5,0.328,0.405,0.594,59.9,56.3,9.4,8.2,0.574,18.7,35.4,0.226
Akron,2020-2021,23,15,8,0.652,1.85,-1.96,,12,6,,9,1,,5,5,,1798,1660,,70.1,101.8,0.261,0.339,0.515,48.3,44.9,7.9,6.7,0.485,14.5,28.6,0.186
Alabama NCAA,2020-2021,33,26,7,0.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,74.7,93.5,0.307,0.343,0.492,48.3,44.0,10.6,14.2,0.458,17.7,28.8,0.211
Alabama A&M,2020-2021,15,6,9,0.400,-18.86,-14.99,,4,9,,5,2,,1,7,,950,1008,,70.1,94.3,0.374,0.333,0.480,50.2,53.7,11.3,6.9,0.440,15.5,29.2,0.251
Alabama State,2020-2021,18,4,14,0.222,-24.28,-16.95,,4,14,,3,6,,1,8,,1156,1288,,72.4,98.9,0.369,0.319,0.526,50.9,49.8,10.7,11.4,0.489,18.0,29.6,0.257
Albany (NY),2020-2021,16,7,9,0.438,-4.53,-5.22,,6,6,,4,5,,2,4,,1110,1099,,69.7,98.6,0.293,0.369,0.540,52.1,48.8,8.1,11.0,0.513,18.6,27.3,0.202
Alcorn State,2020-2021,19,6,13,0.316,-19.58,-10.06,,6,7,,4,3,,2,9,,1256,1437,,71.3,106.1,0.501,0.390,0.585,52.2,58.0,9.5,10.8,0.554,19.6,30.3,0.340
American,2020-2021,10,4,6,0.400,-6.32,-1.82,,4,5,,2,2,,2,4,,691,736,,67.5,103.9,0.384,0.295,0.533,51.8,43.7,12.0,7.8,0.502,15.3,29.9,0.257
Appalachian State NCAA,2020-2021,29,17,12,0.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,66.8,94.0,0.239,0.377,0.507,49.2,50.2,8.3,13.1,0.479,18.1,26.8,0.170
Arizona,2020-2021,26,17,9,0.654,15.02,8.18,,11,9,,12,4,,5,5,,1961,1783,,68.4,99.3,0.324,0.367,0.525,44.9,46.3,7.8,7.0,0.492,16.0,24.1,0.229
Arizona State,2020-2021,25,11,14,0.440,7.48,10.24,,7,10,,7,6,,2,6,,1858,1927,,72.6,105.1,0.361,0.363,0.563,55.4,55.6,7.6,8.2,0.525,18.2,30.0,0.269
Arkansas NCAA,2020-2021,32,25,7,0.781,17.80,7.18,,13,4,,16,1,,5,4,,2604,2264,,75.1,93.9,0.290,0.377,0.508,47.4,48.3,8.7,8.5,0.479,17.8,26.0,0.199
Arkansas State,2020-2021,24,11,13,0.458,-7.97,-5.87,,7,8,,9,3,,1,9,,1741,1667,,69.3,99.7,0.275,0.335,0.515,47.5,48.4,9.7,10.2,0.481,15.7,27.6,0.203
Arkansas-Pine Bluff,2020-2021,25,4,21,0.160,-22.67,-7.79,,3,12,,2,3,,2,17,,1549,1921,,69.5,109.4,0.383,0.333,0.567,53.3,59.4,11.8,9.9,0.541,16.0,31.7,0.258
Army,2020-2021,22,12,10,0.545,0.06,0.63,,7,7,,5,5,,5,3,,1578,1529,,70.0,98.7,0.243,0.406,0.537,50.5,50.5,9.9,9.7,0.511,17.6,24.1,0.176
Auburn,2020-2021,27,13,14,0.481,10.02,9.28,,7,11,,8,5,,3,8,,2084,2064,,73.4,103.1,0.316,0.355,0.525,48.0,45.5,11.8,11.5,0.496,15.8,31.5,0.217
Austin Peay,2020-2021,27,14,13,0.519,-6.66,-8.22,,10,10,,8,5,,4,6,,2007,1890,,69.0,100.5,0.327,0.371,0.561,47.9,45.4,11.2,6.7,0.538,20.6,29.7,0.221
Ball State,2020-2021,23,10,13,0.435,-1.96,-1.22,,8,9,,7,4,,3,8,,1719,1736,,72.0,103.7,0.357,0.379,0.523,50.6,47.1,10.0,7.4,0.489,14.8,30.5,0.245
Baylor NCAA,2020-2021,30,28,2,0.933,24.83,7.40,,13,1,,11,0,,7,1,,2487,1964,,69.6,93.7,0.313,0.343,0.521,46.8,51.8,8.0,10.6,0.489,21.3,29.7,0.217
Bellarmine,2020-2021,22,14,8,0.636,-1.76,-5.56,,10,3,,6,4,,7,2,,1634,1456,,65.8,100.6,0.278,0.474,0.563,49.2,56.8,8.1,7.5,0.539,20.4,26.5,0.196
Belmont,2020-2021,30,26,4,0.867,3.46,-8.71,,18,2,,11,1,,10,2,,2439,2074,,71.9,95.8,0.247,0.364,0.512,49.6,49.9,8.7,10.6,0.488,17.9,27.5,0.168
Binghamton,2020-2021,18,4,14,0.222,-12.24,-5.35,,4,10,,1,9,,3,5,,1178,1302,,66.2,107.1,0.313,0.360,0.546,49.8,46.6,10.0,7.9,0.515,14.3,27.5,0.225
Boise State,2020-2021,28,19,9,0.679,9.75,1.71,,14,6,,11,1,,6,6,,2122,1868,,70.2,94.5,0.275,0.347,0.520,47.9,45.8,7.5,6.8,0.488,18.3,23.1,0.200
Boston College,2020-2021,20,4,16,0.200,0.82,8.97,,2,11,,3,5,,0,7,,1427,1590,,71.8,110.0,0.291,0.360,0.578,52.8,50.1,9.4,10.6,0.555,16.3,28.6,0.207
Boston University,2020-2021,18,7,11,0.389,-3.71,0.84,,6,10,,2,6,,5,5,,1249,1331,,67.9,108.9,0.297,0.351,0.555,48.8,48.1,9.5,7.5,0.534,13.4,25.9,0.199
