School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10,10,,8,6,,5,10,,2452,2500,,71.1,102.2,0.398,0.319,0.547,52.3,47.3,9.3,7.8,0.514,17.8,29.7,0.273,2023-2024
Air Force,31,9,22,0.290,-4.77,1.43,,2,16,,4,12,,5,8,,2051,2243,,63.4,113.2,0.391,0.367,0.580,53.8,49.9,9.0,11.3,0.542,15.3,31.5,0.292,2023-2024
Akron NCAA,35,24,11,0.686,2.77,-2.08,,13,5,,13,1,,7,6,,2577,2316,,66.9,98.5,0.283,0.372,0.514,47.0,45.8,8.7,7.5,0.486,15.2,25.2,0.194,2023-2024
Alabama NCAA,37,25,12,0.676,20.69,11.80,,13,5,,14,2,,5,5,,3335,3006,,73.9,109.2,0.388,0.371,0.540,47.4,45.9,9.9,12.8,0.496,13.1,31.0,0.286,2023-2024
Alabama A&M,35,12,23,0.343,-14.35,-7.52,,9,9,,7,5,,4,15,,2414,2653,,71.7,105.3,0.452,0.369,0.543,50.2,54.1,13.1,8.1,0.491,16.8,32.7,0.338,2023-2024
Alabama State,32,13,19,0.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,69.7,98.1,0.420,0.415,0.529,49.9,53.4,8.7,11.7,0.482,18.2,28.1,0.305,2023-2024
Albany (NY),32,13,19,0.406,-6.60,-5.22,,5,11,,8,5,,5,13,,2517,2521,,74.6,105.2,0.383,0.296,0.549,50.0,46.3,9.8,11.4,0.510,15.3,29.0,0.278,2023-2024
Alcorn State,32,14,18,0.438,-11.58,-5.61,,13,5,,7,3,,7,14,,2300,2477,,68.3,112.9,0.366,0.455,0.580,48.6,59.5,9.2,9.5,0.548,15.0,30.3,0.266,2023-2024
American,32,16,16,0.500,-8.96,-8.79,,10,8,,8,7,,8,9,,2200,2176,,63.1,106.9,0.298,0.430,0.559,48.4,51.9,7.9,8.2,0.535,15.1,25.2,0.206,2023-2024
Appalachian State,34,27,7,0.794,6.04,-2.34,,16,2,,15,0,,8,5,,2665,2283,,69.3,94.8,0.212,0.329,0.466,46.6,40.3,9.7,5.9,0.440,12.7,27.4,0.147,2023-2024
Arizona NCAA,36,27,9,0.750,24.54,9.45,,15,5,,15,1,,7,4,,3137,2594,,73.3,96.6,0.259,0.379,0.513,43.4,52.3,9.3,8.5,0.484,16.0,23.3,0.184,2023-2024
Arizona State,32,14,18,0.438,4.58,9.55,,8,12,,10,5,,3,8,,2209,2368,,70.6,104.5,0.312,0.392,0.546,55.0,57.6,8.2,7.2,0.517,16.8,29.8,0.221,2023-2024
Arkansas,33,16,17,0.485,6.12,8.15,,6,12,,12,6,,2,7,,2566,2633,,72.2,108.9,0.390,0.341,0.545,51.3,47.1,8.8,7.5,0.504,13.1,29.9,0.284,2023-2024
Arkansas State,37,20,17,0.541,0.28,-1.53,,11,7,,10,3,,5,11,,2917,2850,,70.0,109.7,0.348,0.269,0.547,47.9,40.5,9.9,12.0,0.505,12.4,28.8,0.265,2023-2024
Arkansas-Pine Bluff,31,13,18,0.419,-15.56,-7.60,,8,10,,8,6,,5,12,,2483,2536,,74.3,110.1,0.327,0.382,0.546,52.5,55.7,9.6,11.3,0.513,13.5,31.5,0.235,2023-2024
Army,32,10,22,0.313,-14.67,-8.93,,6,12,,6,11,,4,11,,1930,2059,,63.1,100.8,0.307,0.397,0.525,50.0,56.3,11.0,9.9,0.493,15.1,25.4,0.216,2023-2024
Auburn NCAA,35,27,8,0.771,22.46,7.66,,13,5,,15,1,,5,5,,2909,2391,,70.9,96.4,0.415,0.334,0.492,47.7,42.7,9.4,8.5,0.437,15.6,30.2,0.305,2023-2024
Austin Peay,35,19,16,0.543,-6.13,-4.85,,10,6,,14,3,,4,12,,2619,2561,,65.9,109.1,0.367,0.362,0.554,51.1,46.5,6.4,8.9,0.521,14.8,30.8,0.260,2023-2024
Ball State,31,15,16,0.484,-6.68,-5.93,,7,11,,9,7,,6,8,,2280,2200,,67.8,103.4,0.277,0.353,0.534,49.1,47.2,9.2,8.8,0.506,15.2,27.4,0.197,2023-2024
Baylor NCAA,35,24,11,0.686,19.50,10.71,,11,7,,15,2,,4,5,,2814,2489,,66.8,104.2,0.303,0.356,0.547,45.4,53.0,10.2,9.8,0.515,15.4,27.1,0.223,2023-2024
Bellarmine,31,8,23,0.258,-11.79,-2.47,,4,12,,6,7,,2,16,,2153,2320,,66.8,111.1,0.304,0.441,0.559,53.1,50.9,6.9,8.3,0.528,13.2,28.2,0.223,2023-2024
Belmont,33,20,13,0.606,2.79,1.44,,12,8,,12,2,,6,9,,2570,2493,,72.0,104.5,0.266,0.400,0.535,51.4,53.8,9.3,8.6,0.507,14.6,27.4,0.192,2023-2024
Bethune-Cookman,34,17,17,0.500,-11.87,-8.87,,11,7,,11,2,,5,11,,2479,2467,,71.8,100.0,0.474,0.358,0.539,51.6,58.3,11.5,7.4,0.491,19.7,32.5,0.337,2023-2024
Binghamton,30,15,15,0.500,-9.29,-5.21,,7,9,,10,4,,5,11,,2163,2167,,68.6,104.5,0.327,0.386,0.524,46.4,43.4,9.8,11.0,0.486,12.0,24.6,0.238,2023-2024
Boise State NCAA,33,22,11,0.667,13.31,7.35,,13,5,,13,3,,7,3,,2479,2221,,66.9,99.8,0.319,0.369,0.530,44.4,48.5,8.5,10.7,0.495,15.3,22.2,0.232,2023-2024
Boston College,36,20,16,0.556,9.48,7.25,,8,12,,10,6,,7,7,,2667,2587,,67.7,105.5,0.281,0.378,0.538,49.3,51.1,9.2,9.3,0.505,13.8,26.3,0.210,2023-2024
Boston University,33,16,17,0.485,-9.93,-8.49,,10,8,,9,7,,7,10,,2193,2198,,65.9,100.0,0.355,0.404,0.529,48.5,50.3,9.8,8.9,0.496,15.3,22.8,0.244,2023-2024
Bowling Green State,34,20,14,0.588,-4.93,-5.52,,10,8,,12,5,,5,7,,2502,2414,,69.1,100.9,0.263,0.345,0.529,47.8,46.8,8.9,9.5,0.506,15.1,24.9,0.179,2023-2024
Bradley,35,23,12,0.657,9.48,2.96,,13,7,,14,3,,6,7,,2592,2348,,66.9,99.2,0.352,0.383,0.515,48.8,49.5,9.9,6.2,0.474,16.1,27.8,0.253,2023-2024
Brigham Young NCAA,34,23,11,0.676,19.33,7.86,,10,8,,16,2,,3,7,,2768,2378,,69.9,100.0,0.320,0.340,0.515,45.8,47.3,8.7,7.5,0.482,14.2,24.6,0.224,2023-2024
Brown,31,13,18,0.419,-3.60,-1.73,,8,6,,5,7,,6,8,,2212,2227,,67.8,104.3,0.319,0.382,0.538,48.2,51.3,9.8,9.3,0.509,15.1,26.9,0.222,2023-2024
Bryant,33,20,13,0.606,-3.06,-3.54,,11,5,,11,3,,8,10,,2598,2488,,76.0,98.5,0.324,0.351,0.489,52.9,46.3,9.6,8.4,0.451,14.1,30.1,0.226,2023-2024
