Year,Winner,Loser,Score,Odds
1985,Kentucky,Washington,66–58,12 vs 5
1986,DePaul,Virginia,72–68,12 vs 5
1987,Wyoming,Virginia,64–60,12 vs 5
1989,DePaul,Memphis State,66–63,12 vs 5
1990,Dayton,Illinois,88–86,12 vs 5
1990,Ball State,Oregon State,54–53,12 vs 5
1991,Eastern Michigan,Mississippi State,76–56,12 vs 5
1992,New Mexico State,DePaul,81–73,12 vs 5
1993,George Washington,New Mexico,82–68,12 vs 5
1994,Wisconsin–Green Bay,California,61–57,12 vs 5
1994,Tulsa,UCLA,112–102,12 vs 5
1995,Miami (OH),Arizona,71–62,12 vs 5
1996,Drexel,Memphis State,75–63,12 vs 5
1996,Arkansas,Penn State,86–80,12 vs 5
1997,College of Charleston,Maryland,75–66,12 vs 5
1998,Florida State,TCU,96–87,12 vs 5
1999,SW Missouri State,Wisconsin,43–32,12 vs 5
1999,Detroit,UCLA,56–53,12 vs 5
2001,Gonzaga,Virginia,86–85,12 vs 5
2001,Utah State,Ohio State,77–68OT,12 vs 5
2002,Creighton,Florida,83–822 OT,12 vs 5
2002,Tulsa,Marquette,71–69,12 vs 5
2002,Missouri,Miami (FL),93–80,12 vs 5
2003,Butler,Mississippi State,47–46,12 vs 5
2004,Manhattan,Florida,75–60,12 vs 5
2004,Pacific,Providence,66–58,12 vs 5
2005,Milwaukee,Alabama,83–73,12 vs 5
2006,Montana,Nevada,87–79,12 vs 5
2006,Texas A&M,Syracuse,66–58,12 vs 5
2008,Villanova,Clemson,75–69,12 vs 5
2008,Western Kentucky,Drake,101–99OT,12 vs 5
2009,Wisconsin,Florida State,61–59OT,12 vs 5
2009,Arizona,Utah,84–71,12 vs 5
2009,Western Kentucky,Illinois,76–72,12 vs 5
2010,Cornell,Temple,78–65,12 vs 5
2011,Richmond,Vanderbilt,69–66,12 vs 5
2012,South Florida,Temple,58–44,12 vs 5
2012,VCU,Wichita State,62–59,12 vs 5
2013,Ole Miss,Wisconsin,57–46,12 vs 5
2013,California,UNLV,64–61,12 vs 5
2013,Oregon,Oklahoma State,68–55,12 vs 5
2014,Stephen F. Austin,VCU,77–75OT,12 vs 5
2014,North Dakota State,Oklahoma,80–75OT,12 vs 5
2014,Harvard,Cincinnati,61–57,12 vs 5
2016,Little Rock,Purdue,85–832 OT,12 vs 5
2016,Yale,Baylor,79–75,12 vs 5
2017,Middle Tennessee,Minnesota,81–72,12 vs 5
2019,Murray State,Marquette,83–64,12 vs 5
2019,Oregon,Wisconsin,72–54,12 vs 5
2019,Liberty,Mississippi State,80–76,12 vs 5
2021,Oregon State,Tennessee,70–56,12 vs 5
2022,Richmond,Iowa,67–63,12 vs 5
2022,New Mexico State,UConn,70–63,12 vs 5
2024,James Madison,Wisconsin,72–61,12 vs 5
2024,Grand Canyon,Saint Mary's,75–66,12 vs 5
