Year,Winner,Loser,Score,Odds
1985,Navy,LSU,78–55,13 vs 4
1987,Xavier,Missouri,70–69,13 vs 4
1987,SW Missouri State,Clemson,65–60,13 vs 4
1988,Richmond,Indiana,72–69,13 vs 4
1989,Middle Tennessee,Florida State,97–83,13 vs 4
1991,Penn State,UCLA,74–69,13 vs 4
1992,Southwestern Louisiana,Oklahoma,87–83,13 vs 4
1993,Southern,Georgia Tech,93–78,13 vs 4
1995,Manhattan,Oklahoma,77–67,13 vs 4
1996,Princeton,UCLA,43–41,13 vs 4
1998,Valparaiso,Ole Miss,70–69,13 vs 4
1999,Oklahoma,Arizona,61–60,13 vs 4
2001,Kent State,Indiana,77–73,13 vs 4
2001,Indiana State,Oklahoma,70–68OT,13 vs 4
2002,UNC Wilmington,USC,93–89OT,13 vs 4
2003,Tulsa,Dayton,84–71,13 vs 4
2005,Vermont,Syracuse,60–57OT,13 vs 4
2006,Bradley,Kansas,77–73,13 vs 4
2008,Siena,Vanderbilt,83–62,13 vs 4
2008,San Diego,Connecticut,70–69OT,13 vs 4
2009,Cleveland State,Wake Forest,84–69,13 vs 4
2010,Murray State,Vanderbilt,66–65,13 vs 4
2011,Morehead State,Louisville,62–61,13 vs 4
2012,Ohio,Michigan,65–60,13 vs 4
2013,La Salle,Kansas State,63–61,13 vs 4
2016,Hawaii,California,77–66,13 vs 4
2018,Marshall,Wichita State,81–75,13 vs 4
2018,Buffalo,Arizona,89–68,13 vs 4
2019,UC Irvine,Kansas State,70–64,13 vs 4
2021,Ohio,Virginia,62–58,13 vs 4
2021,North Texas,Purdue,78–69OT,13 vs 4
2023,Furman,Virginia,68–67,13 vs 4
2024,Yale,Auburn,78–76,13 vs 4
