Year,Winner,Loser,Score,Odds
1985,Boston College,Texas Tech,55–53,11 vs 6
1985,UTEP,Tulsa,79–75,11 vs 6
1985,Auburn,Purdue,59–58,11 vs 6
1986,LSU,Purdue,94–87OT,11 vs 6
1988,Rhode Island,Missouri,87–80,11 vs 6
1989,Minnesota,Kansas State,86–75,11 vs 6
1989,Evansville,Oregon State,94–90OT,11 vs 6
1989,South Alabama,Alabama,86–84,11 vs 6
1989,Texas,Georgia Tech,76–70,11 vs 6
1990,Loyola Marymount,New Mexico State,111–92,11 vs 6
1991,Creighton,New Mexico State,64–56,11 vs 6
1991,Connecticut,LSU,79–62,11 vs 6
1993,Tulane,Kansas State,55–53,11 vs 6
1994,Penn,Nebraska,90–80,11 vs 6
1995,Texas,Oregon,90–73,11 vs 6
1996,Boston College,Indiana,64–51,11 vs 6
1998,Washington,Xavier,69–68,11 vs 6
1998,Western Michigan,Clemson,75–72,11 vs 6
2000,Pepperdine,Indiana,77–57,11 vs 6
2001,Georgia State,Wisconsin,50–49,11 vs 6
2001,Temple,Texas,79–65,11 vs 6
2002,Wyoming,Gonzaga,73–68,11 vs 6
2002,Southern Illinois,Texas Tech,76–68,11 vs 6
2003,Central Michigan,Creighton,79–73,11 vs 6
2005,UAB,LSU,82–68,11 vs 6
2006,Milwaukee,Oklahoma,82–74,11 vs 6
2006,George Mason,Michigan State,75–65,11 vs 6
2007,Winthrop,Notre Dame,76–64,11 vs 6
2007,VCU,Duke,79–77,11 vs 6
2008,Kansas State,USC,80–67,11 vs 6
2009,Dayton,West Virginia,68–62,11 vs 6
2010,Washington,Marquette,80–78,11 vs 6
2010,Old Dominion,Notre Dame,51–50,11 vs 6
2011,Marquette,Xavier,66–55,11 vs 6
2011,VCU,Georgetown,74–56,11 vs 6
2011,Gonzaga,St. John's,86–71,11 vs 6
2012,Colorado,UNLV,68–64,11 vs 6
2012,North Carolina State,San Diego State,79–65,11 vs 6
2013,Minnesota,UCLA,83–63,11 vs 6
2014,Tennessee,UMass,86–67,11 vs 6
2014,Dayton,Ohio State,60–59,11 vs 6
2015,Dayton,Providence,66–53,11 vs 6
2015,UCLA,SMU,60–59,11 vs 6
2016,Northern Iowa,Texas,75–72,11 vs 6
2016,Gonzaga,Seton Hall,68–52,11 vs 6
2016,Wichita State,Arizona,65–55,11 vs 6
2017,Rhode Island,Creighton,84–72,11 vs 6
2017,USC,SMU,66–65,11 vs 6
2017,Xavier,Maryland,76–65,11 vs 6
2018,Loyola Chicago,Miami (FL),64–62,11 vs 6
2018,Syracuse,TCU,57–52,11 vs 6
2019,Ohio State,Iowa State,62–59,11 vs 6
2021,UCLA,BYU,73–62,11 vs 6
2021,Syracuse,San Diego State,78–62,11 vs 6
2022,Michigan,Colorado State,75–63,11 vs 6
2022,Notre Dame,Alabama,78–64,11 vs 6
2022,Iowa State,LSU,59–54,11 vs 6
2023,Pittsburgh,Iowa State,59–41,11 vs 6
2024,Duquesne,BYU,71–67,11 vs 6
2024,NC State,Texas Tech,80–67,11 vs 6
2024,Oregon,South Carolina,87–73,11 vs 6Year,Winner,Loser,Score,Odds
1985,Kentucky,Washington,66–58,12 vs 5
1986,DePaul,Virginia,72–68,12 vs 5
1987,Wyoming,Virginia,64–60,12 vs 5
1989,DePaul,Memphis State,66–63,12 vs 5
1990,Dayton,Illinois,88–86,12 vs 5
1990,Ball State,Oregon State,54–53,12 vs 5
1991,Eastern Michigan,Mississippi State,76–56,12 vs 5
1992,New Mexico State,DePaul,81–73,12 vs 5
1993,George Washington,New Mexico,82–68,12 vs 5
1994,Wisconsin–Green Bay,California,61–57,12 vs 5
1994,Tulsa,UCLA,112–102,12 vs 5
1995,Miami (OH),Arizona,71–62,12 vs 5
1996,Drexel,Memphis State,75–63,12 vs 5
1996,Arkansas,Penn State,86–80,12 vs 5
1997,College of Charleston,Maryland,75–66,12 vs 5
1998,Florida State,TCU,96–87,12 vs 5
1999,SW Missouri State,Wisconsin,43–32,12 vs 5
1999,Detroit,UCLA,56–53,12 vs 5
2001,Gonzaga,Virginia,86–85,12 vs 5
2001,Utah State,Ohio State,77–68OT,12 vs 5
2002,Creighton,Florida,83–822 OT,12 vs 5
2002,Tulsa,Marquette,71–69,12 vs 5
2002,Missouri,Miami (FL),93–80,12 vs 5
2003,Butler,Mississippi State,47–46,12 vs 5
2004,Manhattan,Florida,75–60,12 vs 5
2004,Pacific,Providence,66–58,12 vs 5
2005,Milwaukee,Alabama,83–73,12 vs 5
2006,Montana,Nevada,87–79,12 vs 5
2006,Texas A&M,Syracuse,66–58,12 vs 5
2008,Villanova,Clemson,75–69,12 vs 5
2008,Western Kentucky,Drake,101–99OT,12 vs 5
2009,Wisconsin,Florida State,61–59OT,12 vs 5
2009,Arizona,Utah,84–71,12 vs 5
2009,Western Kentucky,Illinois,76–72,12 vs 5
2010,Cornell,Temple,78–65,12 vs 5
2011,Richmond,Vanderbilt,69–66,12 vs 5
2012,South Florida,Temple,58–44,12 vs 5
2012,VCU,Wichita State,62–59,12 vs 5
2013,Ole Miss,Wisconsin,57–46,12 vs 5
2013,California,UNLV,64–61,12 vs 5
2013,Oregon,Oklahoma State,68–55,12 vs 5
2014,Stephen F. Austin,VCU,77–75OT,12 vs 5
2014,North Dakota State,Oklahoma,80–75OT,12 vs 5
2014,Harvard,Cincinnati,61–57,12 vs 5
2016,Little Rock,Purdue,85–832 OT,12 vs 5
2016,Yale,Baylor,79–75,12 vs 5
2017,Middle Tennessee,Minnesota,81–72,12 vs 5
2019,Murray State,Marquette,83–64,12 vs 5
2019,Oregon,Wisconsin,72–54,12 vs 5
2019,Liberty,Mississippi State,80–76,12 vs 5
2021,Oregon State,Tennessee,70–56,12 vs 5
2022,Richmond,Iowa,67–63,12 vs 5
2022,New Mexico State,UConn,70–63,12 vs 5
2024,James Madison,Wisconsin,72–61,12 vs 5
2024,Grand Canyon,Saint Mary's,75–66,12 vs 5Year,Winner,Loser,Score,Odds
1985,Navy,LSU,78–55,13 vs 4
1987,Xavier,Missouri,70–69,13 vs 4
1987,SW Missouri State,Clemson,65–60,13 vs 4
1988,Richmond,Indiana,72–69,13 vs 4
1989,Middle Tennessee,Florida State,97–83,13 vs 4
1991,Penn State,UCLA,74–69,13 vs 4
1992,Southwestern Louisiana,Oklahoma,87–83,13 vs 4
1993,Southern,Georgia Tech,93–78,13 vs 4
1995,Manhattan,Oklahoma,77–67,13 vs 4
1996,Princeton,UCLA,43–41,13 vs 4
1998,Valparaiso,Ole Miss,70–69,13 vs 4
1999,Oklahoma,Arizona,61–60,13 vs 4
2001,Kent State,Indiana,77–73,13 vs 4
2001,Indiana State,Oklahoma,70–68OT,13 vs 4
